name,description,price,ingrediants
Not Taco Bell Crunchy Taco,"Our crunchy taco shells, introduced into the world by our founder in 1962, are cooked fresh daily with love and filled with only the freshest ingredients. Including seasoned beef, shredded cheese and lettuce.",9.95,"[Seasoned Group Beef, Cheddar Cheese, Lettuce]"
Not McDonalds Big Mac,"It starts with two 100% beef patties. Then comes the delicious combination of crisp iceberg lettuce, melting signature cheese, onions and pickles, between a toasted sesame seed bun. And don't forget the McDonald's special sauce!",14.49,"[Beef Pattie, Lettuce, Cheese, Onions, Pickles, Sesame Seed Bun, Secret Sauce]"
Not KFC Original Recipe Chicken,"World-famous, mouth-watering Original Recipe chicken with 11 secret herbs and spices. Made with freshly prepared chicken pieces and cooked in-store.",17.95,[6 Pieces of Chicken]
Not Dominos Pepperoni Pizza,A classic. Slices of crispy pepperoni & creamy mozzarella,12.5,"[Ham, Italian Sausage, Beef, and Mozzarella Cheese]"
Not Krispy Kreme Original Glazed Doughnuts,"When people talk about a doughnut, they're usually referring to our signature treat: the Original Glazed doughnut. Made from a recipe dating back to the 1930s, our Original Glazed doughnuts have helped set us apart. And if you haven't had an Original Glazed HOT off-the-line, you need to try one!",20.05,"[Wheat, Egg, Milk and Soy]"
Not Hungry Jacks Big Whopper,"Flame-grilled beef that gives you an irresistible, smoky BBQ flavour. Loaded with crisp fresh lettuce, ripe tomatoes, onion, pickles, mayo and tomato sauce on a toasted sesame seed bun. A legend for over 40 years.",50,"[Beef Pattie, Lettuce, Tomatoes, Onion, Pickles, Mayo, Tomato Sauce, Sesame Seed Bun]"
Not McDonalds Quarter Pounder with Cheese,"It's mighty simple, but it works. Take a whole quarter pound* of 100% beef, then complete the tasty picture with cheese, onions, tangy mustard and pickles. Bet your mouth is watering right now.",40,"[Beef Pattie, Cheese, Onion, Mustard, Pickles]"
Not Starbucks Pumpkin Spice Latte,"Our signature espresso and steamed milk with the celebrated flavor combination of pumpkin, cinnamon, nutmeg and clove. Enjoy it topped with whipped cream and real pumpkin-pie spices.",25.49,"[Milk, Pumpkin Sauce, Tea, Sweeteners, 2 Espresso Shots, Whipped Cream, Pumpkin Spice Topping]"
Not Schnitz Plain and Simple,"Schnitzel, tasty cheese, baby cos lettuce, tomato, Spanish onion & original mayonnaise.",64.75,"[Chicken Schnitzel, Cheese, Baby Cos Lettuce, Tomato, Spanish Onion, Original Mayonnaise."
Not Gill'd Simply Gill'd,"Grass-fed beef pattie with cos lettuce, tomato, Spanish onion, relish & herbed mayo.",110,"[Beef Pattie, Lettuce, Tomato, Spanish Onion, Relish, Herbed Mayo]"